,smoothing,normalization,dimension,wsize,sigma,update_weight,decay_period,thres,f1
121,0.0,1,4,125,0.3,0.001,200,0.99,0.1228798844405309
122,1.0,1,6,201,0.5,0.005,1400,0.98,0.45726208103378646
123,1.0,1,10,225,3.0,0.3,400,0.72,0.6217736254514116
124,1.0,0,2,125,0.3,0.3,400,0.2,0.46496815286624205
125,1.0,0,2,201,0.3,0.4,5000,0.13,0.41736156211333364
126,0.0,1,2,125,5.0,0.2,1400,0.03,0.47369795065918285
127,1.0,0,7,11,3.0,0.3,1600,0.07,0.5032946105503713
128,1.0,1,10,75,0.3,0.005,600,0.97,0.4663136995367306
129,0.0,0,7,301,0.1,0.3,600,0.01,0.47369795065918285
130,1.0,1,10,251,0.5,0.4,2000,0.93,0.5700305406984488
131,1.0,1,10,275,0.1,0.005,1000,0.01,0.47369795065918285
132,0.0,0,1,151,0.5,0.3,1800,0.01,0.47369795065918285
133,1.0,0,5,201,0.3,0.1,7000,0.06,0.4850374455551029
134,1.0,0,10,251,2.0,0.2,1600,0.5,0.47369795065918285
135,0.0,0,9,75,3.0,0.005,1200,0.81,0.47369795065918285
136,0.0,1,10,25,0.1,0.2,1800,0.01,0.47369795065918285
137,0.0,0,10,151,1.5,0.001,1600,0.79,0.37103552013116187
138,0.0,0,6,201,0.3,0.001,400,0.99,0.44317083275790636
139,1.0,0,4,175,2.0,0.005,1200,0.22,0.47397134666506324
140,1.0,1,1,51,0.1,0.4,7000,0.01,0.47369795065918285
141,0.0,1,9,301,2.0,0.4,1200,0.45,0.47369795065918285
142,0.0,1,10,301,0.5,0.1,1200,0.05,0.47369795065918285
143,1.0,1,5,225,0.5,0.2,1800,0.49,0.39399028756150917
144,0.0,0,5,25,0.3,0.001,1600,0.07,0.4695047241498885
145,0.0,0,10,125,0.3,0.2,600,0.01,0.47369795065918285
146,1.0,1,2,75,1.0,0.1,1000,0.35000000000000003,0.47369795065918285
147,1.0,1,7,51,2.0,0.3,1600,0.54,0.4773304107902343
148,0.0,1,10,225,0.3,0.001,1400,0.9400000000000001,0.10693855695863638
149,0.0,0,10,175,2.0,0.2,1200,0.8200000000000001,0.47369795065918285
150,1.0,0,1,125,5.0,0.1,5000,0.01,0.47369795065918285
151,0.0,1,10,11,0.1,0.005,7000,0.92,0.49037780600143843
152,1.0,1,10,25,0.3,0.2,800,0.01,0.47369795065918285
153,0.0,1,6,151,5.0,0.005,200,0.43,0.47369795065918285
154,0.0,1,5,125,0.5,0.4,1800,0.48,0.6301476301476302
155,1.0,1,4,225,3.0,0.4,400,0.3,0.47369795065918285
