,smoothing,normalization,dimension,wsize,sigma,update_weight,decay_period,thres,f1
121,1.0,0,5,201,5.0,0.005,7000,0.1,0.5181543351807891
122,0.0,1,10,251,1.0,0.4,5000,0.12,0.5877446808510638
123,1.0,0,10,75,1.5,0.1,1400,0.25,0.6409330659384705
124,0.0,1,5,25,1.0,0.005,1200,0.99,0.4550837848053421
125,1.0,1,8,101,0.3,0.001,2000,0.99,0.457578227879852
126,0.0,0,10,25,5.0,0.1,1600,0.67,0.5144376201064479
127,1.0,1,3,25,1.0,0.4,800,0.19,0.49166223799099235
128,1.0,0,2,151,1.5,0.1,5000,0.17,0.48138377600575577
129,0.0,0,10,51,1.0,0.005,1200,0.99,0.6271315372424722
130,0.0,1,10,201,0.3,0.4,600,0.01,0.48138377600575577
131,1.0,0,4,125,2.0,0.4,600,0.25,0.48138377600575577
132,0.0,0,7,251,5.0,0.2,400,0.27,0.48138377600575577
133,1.0,0,3,201,2.0,0.001,5000,0.14,0.5181543351807891
134,0.0,1,10,125,0.5,0.4,600,0.04,0.48138377600575577
135,0.0,0,2,275,0.3,0.005,800,0.97,0.43589409156123643
136,0.0,1,3,51,0.1,0.001,2000,0.99,0.42719025230117214
137,0.0,0,2,151,2.0,0.005,400,0.13,0.48138377600575577
138,0.0,1,1,201,5.0,0.001,600,0.01,0.48138377600575577
139,0.0,0,10,51,2.0,0.3,1000,0.88,0.5601552497321038
140,1.0,0,10,151,5.0,0.001,1800,0.22,0.4893461178895031
141,1.0,0,9,25,0.5,0.005,2000,0.27,0.594803417187841
142,0.0,1,9,11,1.5,0.3,600,0.8200000000000001,0.5241321345796297
143,0.0,0,6,275,1.5,0.4,1400,0.87,0.48138377600575577
144,1.0,1,8,51,1.5,0.3,400,0.3,0.6236532168735401
145,1.0,1,4,125,1.0,0.005,5000,0.22,0.5820850961202166
146,1.0,1,4,75,1.5,0.005,1600,0.24,0.5663118351530927
147,1.0,1,10,275,2.0,0.4,1600,0.28,0.5697170545961084
148,0.0,0,7,11,1.0,0.3,2000,0.9400000000000001,0.5120685272280213
149,1.0,1,10,175,5.0,0.001,1400,0.34,0.48138377600575577
150,1.0,1,5,101,0.1,0.4,1200,0.01,0.48138377600575577
151,1.0,1,10,101,3.0,0.1,7000,0.25,0.6294472088044178
152,1.0,0,7,225,5.0,0.005,800,0.2,0.48138377600575577
153,0.0,1,2,225,0.1,0.001,1000,0.85,0.4376178401924452
154,1.0,0,7,151,0.1,0.3,1600,0.01,0.48138377600575577
155,0.0,1,10,225,2.0,0.1,1600,0.24,0.5597251152314556
156,0.0,0,9,25,0.5,0.2,1600,0.72,0.6092818445451351
157,1.0,0,2,175,1.5,0.005,200,0.16,0.48138377600575577
158,1.0,0,5,201,1.5,0.3,1400,0.2,0.5920234083910462
159,0.0,1,7,125,5.0,0.4,1400,0.08,0.5916523396416158
160,0.0,0,10,75,1.0,0.005,1200,0.99,0.6792336217552534
161,1.0,1,10,11,2.0,0.4,1800,0.55,0.4984664978160117
162,0.0,1,10,25,3.0,0.2,5000,0.65,0.5138044286761889
163,0.0,0,6,101,0.3,0.1,1000,0.01,0.48138377600575577
164,1.0,1,10,225,3.0,0.4,5000,0.33,0.48138377600575577
165,1.0,0,2,275,0.5,0.005,1800,0.23,0.6707516013345027
166,1.0,1,10,25,1.5,0.1,600,0.31,0.5206024096385542
167,0.0,1,5,101,5.0,0.001,5000,0.19,0.6469571154003131
168,1.0,1,10,301,0.3,0.2,800,0.01,0.48138377600575577
169,1.0,0,6,151,1.0,0.1,600,0.29,0.7012290956066893
170,1.0,1,10,11,5.0,0.001,2000,0.41000000000000003,0.48138377600575577
171,0.0,1,2,125,0.1,0.005,400,0.87,0.45604326499811343
172,1.0,1,1,75,5.0,0.2,600,0.01,0.48138377600575577
173,1.0,1,9,75,2.0,0.005,1400,0.26,0.5697055215766018
174,0.0,1,10,301,1.0,0.001,200,0.85,0.29788961038961037
175,0.0,1,10,101,5.0,0.005,1000,0.47000000000000003,0.6370515281723873
176,0.0,1,1,301,1.0,0.4,2000,0.01,0.48138377600575577
177,1.0,1,2,75,0.1,0.005,1600,0.89,0.47897843633297194
178,1.0,1,10,51,0.3,0.005,1400,0.8300000000000001,0.4797931200384893
179,1.0,1,7,151,0.3,0.1,1400,0.01,0.48138377600575577
180,1.0,0,10,201,3.0,0.4,1400,0.24,0.5890938950312259
181,1.0,1,10,225,5.0,0.001,2000,0.85,0.48138377600575577
182,1.0,1,10,11,0.3,0.3,1200,0.44,0.4843193728079224
183,1.0,0,5,225,0.3,0.001,7000,0.24,0.6707179831906722
184,0.0,1,8,75,0.1,0.2,400,0.01,0.48138377600575577
185,0.0,0,10,151,0.3,0.1,600,0.01,0.48138377600575577
186,0.0,0,3,125,5.0,0.2,7000,0.08,0.48138377600575577
187,0.0,1,2,125,1.0,0.2,200,0.13,0.5832013781547484
188,1.0,0,10,25,1.0,0.4,7000,0.2,0.5162347092432578
189,0.0,1,4,11,5.0,0.3,1000,0.17,0.49298016247236487
190,0.0,1,5,51,1.5,0.3,1400,0.15,0.5564995827670532
191,1.0,0,4,11,5.0,0.001,1600,0.14,0.48138377600575577
192,1.0,1,5,251,1.5,0.4,5000,0.27,0.6135485845379225
193,0.0,0,10,51,3.0,0.1,1400,0.65,0.5463815366383113
194,1.0,1,10,251,2.0,0.4,600,0.19,0.6472646040186605
195,0.0,0,4,151,3.0,0.2,5000,0.25,0.48138377600575577
196,0.0,1,9,101,5.0,0.001,2000,0.38,0.5576267541621259
197,1.0,1,4,225,0.1,0.1,800,0.01,0.48138377600575577
198,0.0,1,1,301,1.5,0.4,2000,0.01,0.48138377600575577
199,0.0,1,10,275,2.0,0.005,200,0.5700000000000001,0.6257788772074486
