,smoothing,normalization,dimension,wsize,sigma,update_weight,decay_period,thres,f1
108,1.0,1,10,75,0.5,0.005,5000,0.01,0.5365949119373776
109,0.0,1,3,125,1.0,0.005,1000,0.25,0.6424584212059763
110,0.0,0,3,175,3.0,0.4,1600,0.01,0.6253986178819436
111,0.0,0,1,75,5.0,0.005,1200,0.01,0.4699459344853175
112,0.0,1,6,225,0.5,0.3,1000,0.03,0.4699459344853175
113,0.0,1,6,225,1.0,0.2,7000,0.07,0.7335817839476863
114,0.0,0,10,201,0.5,0.005,1200,0.49,0.7650354495483535
115,1.0,0,1,175,2.0,0.1,1600,0.01,0.4699459344853175
116,0.0,0,2,225,0.1,0.1,1600,0.01,0.4699459344853175
117,1.0,1,6,51,1.5,0.2,1400,0.09,0.5937556774154283
118,0.0,1,6,25,3.0,0.001,5000,0.03,0.5585081708704243
119,0.0,0,9,301,5.0,0.1,1400,0.05,0.7568969454142582
120,1.0,1,8,11,0.5,0.3,7000,0.01,0.5669081204727411
121,1.0,0,5,201,5.0,0.005,7000,0.05,0.817729270146147
122,0.0,1,10,251,1.0,0.4,5000,0.04,0.7545526751177773
123,1.0,0,10,75,1.5,0.1,1400,0.16,0.6358917520743247
124,0.0,1,5,25,1.0,0.005,1200,0.21,0.5314477945485936
125,1.0,1,8,101,0.3,0.001,2000,0.01,0.4699459344853175
126,0.0,0,10,25,5.0,0.1,1600,0.06,0.5700054388501248
127,1.0,1,3,25,1.0,0.4,800,0.05,0.5414746543778802
128,1.0,0,2,151,1.5,0.1,5000,0.03,0.7428025357226445
129,0.0,0,10,51,1.0,0.005,1200,0.19,0.6177058389215068
130,0.0,1,10,201,0.3,0.4,600,0.01,0.4699459344853175
131,1.0,0,4,125,2.0,0.4,600,0.03,0.7023932759613979
132,0.0,0,7,251,5.0,0.2,400,0.02,0.7424855997275082
133,1.0,0,3,201,2.0,0.001,5000,0.08,0.851064260815449
134,0.0,1,10,125,0.5,0.4,600,0.05,0.6525485563392516
135,0.0,0,2,275,0.3,0.005,800,0.01,0.4699459344853175
136,0.0,1,3,51,0.1,0.001,2000,0.01,0.4699459344853175
137,0.0,0,2,151,2.0,0.005,400,0.04,0.7333950757355878
138,0.0,1,1,201,5.0,0.001,600,0.01,0.4699459344853175
139,0.0,0,10,51,2.0,0.3,1000,0.06,0.6108921678940378
140,1.0,0,10,151,5.0,0.001,1800,0.14,0.8311111111111111
141,1.0,0,9,25,0.5,0.005,2000,0.01,0.5975933568601786
142,0.0,1,9,11,1.5,0.3,600,0.03,0.6015842112946517
143,0.0,0,6,275,1.5,0.4,1400,0.04,0.7613323783278746
144,1.0,1,8,51,1.5,0.3,400,0.04,0.5877170861167842
145,1.0,1,4,125,1.0,0.005,5000,0.06,0.6541694836134183
146,1.0,1,4,75,1.5,0.005,1600,0.07,0.6030478859618702
147,1.0,1,10,275,2.0,0.4,1600,0.05,0.7645164706436431
148,0.0,0,7,11,1.0,0.3,2000,0.04,0.6011986299781772
149,1.0,1,10,175,5.0,0.001,1400,0.09,0.637938158031597
150,1.0,1,5,101,0.1,0.4,1200,0.01,0.4699459344853175
151,1.0,1,10,101,3.0,0.1,7000,0.1,0.666188877720038
152,1.0,0,7,225,5.0,0.005,800,0.08,0.8332664959702973
153,0.0,1,2,225,0.1,0.001,1000,0.01,0.4699459344853175
154,1.0,0,7,151,0.1,0.3,1600,0.01,0.4699459344853175
155,0.0,1,10,225,2.0,0.1,1600,0.08,0.7076269228642563
156,0.0,0,9,25,0.5,0.2,1600,0.07,0.6034108760016412
157,1.0,0,2,175,1.5,0.005,200,0.05,0.7908338513100599
158,1.0,0,5,201,1.5,0.3,1400,0.07,0.782249758722391
159,0.0,1,7,125,5.0,0.4,1400,0.01,0.7036737615272806
