,smoothing,normalization,wsize,memory,thres,F1,FPR,RFPR,Prec,Rec,tot_pred,tot_labels,tot_correctly_pred
70,0,0,251,1600,0.05,0.8701594034409873,0.02562689446057793,36.987982343442376,0.8042105261464819,0.9478908186233521,475.0,403,382.0
71,1,1,275,1800,0.03,0.7107600704075092,0.06888950123811272,12.967127576042385,0.5901639343294813,0.8933002479172951,610.0,403,360.0
72,0,1,125,1000,0.02,0.2346433562763336,0.7244419950199934,1.3803725744626458,0.13291556727793816,0.9999999997518609,3032.0,403,403.0
73,0,1,51,800,0.09,0.06841042332099034,0.28575365113569157,0.4428668668459818,0.046874999995691634,0.12655086845495014,1088.0,403,51.0
74,1,0,275,600,0.05,0.5452811727888329,0.09920088178288232,7.153935439187345,0.4427244581358012,0.70967741917874,646.0,403,286.0
75,0,1,25,1400,0.22,0.058754356706536774,0.11656103609488672,0.5322077453689333,0.05580357141611527,0.06203473943870105,448.0,403,25.0
76,1,1,125,1000,0.06,0.6267879863636633,0.03444475061905636,17.36151783042516,0.6584699451752813,0.5980148881890781,366.0,403,241.0
77,1,0,25,1600,0.43,0.11037525625094763,0.006888950123811272,9.004832063027752,0.499999999,0.06203473943870105,50.0,403,25.0
78,1,0,225,200,0.06,0.7485264746146988,0.06448057315887351,14.661903834601972,0.6195121950212176,0.945409429045804,615.0,403,381.0
79,1,0,151,2000,0.1,0.18723399352629416,0.06503168916877841,2.51833317538182,0.21854304628525062,0.1637717121181708,302.0,403,66.0
80,0,0,101,1000,0.07,0.42578121632004046,0.0,2704714.639527366,0.9999999990825689,0.2704714639527366,109.0,403,109.0
81,0,0,175,1600,0.03,0.8602672645145887,0.01818682832686176,48.29908023305996,0.8428571426564625,0.878411910452007,420.0,403,354.0
82,1,0,51,1400,0.17,0.2771738634204513,0.06365389914401616,3.9762110835685536,0.3063063062143224,0.2531017369099003,333.0,403,102.0
83,1,0,225,400,0.06,0.891156412754205,0.023697988425910775,41.150412069107716,0.8204592900166056,0.9751861039763806,479.0,403,393.0
84,0,0,25,1000,0.43,0.11682241885208414,0.0,620347.3943870106,0.999999996,0.06203473943870105,25.0,403,25.0
85,1,0,11,1600,1.02,0.05045870158131013,0.006062276108953919,4.502407119333007,0.3333333323232323,0.027295285353028463,33.0,403,11.0
86,0,1,125,1200,0.02,0.2491499008936377,0.6693303940295032,1.4940302416697935,0.14230225988198086,0.9999999997518609,2832.0,403,403.0
87,1,1,75,600,0.11,0.3651115318721763,0.0,2233250.619793238,0.9999999988888889,0.22332506197932378,90.0,403,90.0
88,0,1,275,1000,0.01,0.23478005499990892,0.7238908790100884,1.381423486060495,0.13300330032564348,0.9999999997518609,3030.0,403,403.0
89,0,1,275,600,0.01,0.21143754666281556,0.8283273628870673,1.2072520163299225,0.11821648576948618,0.9999999997518609,3409.0,403,403.0
90,0,0,251,1200,0.05,0.8799999501097824,0.023973546430863225,39.84938169965316,0.8156779659288818,0.9553349873559962,472.0,403,385.0
91,1,0,11,600,1.01,0.04680848617203628,0.015431248277337248,1.7688205114983246,0.1641791042325685,0.027295285353028463,67.0,403,11.0
92,0,1,11,2000,0.62,0.04399996870962221,0.023697988425910775,1.151792704224389,0.11340206173876077,0.027295285353028463,97.0,403,11.0
93,0,1,275,400,0.01,0.2005473817969538,0.8853678699122247,1.12947388400667,0.11144911504116568,0.9999999997518609,3616.0,403,403.0
94,0,0,175,1800,0.04,0.4429065320212921,0.01295122623276519,24.523964590021446,0.7314285710106123,0.3176178659261494,175.0,403,128.0
95,1,0,301,1400,0.05,0.811664591379377,0.023697988425910775,34.97261483735872,0.7952380950487528,0.8287841189010461,420.0,403,334.0
96,0,1,301,1000,0.01,0.23622506707873164,0.718104160906087,1.3925554466005878,0.13393153871273075,0.9999999997518609,3009.0,403,403.0
97,0,0,101,1400,0.08,0.4039603636427826,0.0,2531017.369099003,0.9999999990196079,0.2531017369099003,102.0,403,102.0
98,0,1,251,800,0.01,0.22173313020399057,0.7795535960104836,1.2827852717132302,0.12469059405554794,0.9999999997518609,3232.0,403,403.0
99,1,1,25,1600,0.45,0.11682241885208414,0.0,620347.3943870106,0.999999996,0.06203473943870105,25.0,403,25.0
