,smoothing,normalization,dimension,wsize,sigma,update_weight,decay_period,thres,F1,beta,FPR,RFPR,Prec,Rec,tot_pred,tot_labels,tot_correctly_pred
17,0.0,1,10,4801,0.5,0.4,1000,10.75,0.2361170588057667,0.1,0.03399858378052885,2.6739003043534706,0.23995001040949906,0.0909090909083735,4801.0,12672,1152.0
18,0.0,1,10,241,5.0,0.1,1800,1.43,0.19405735550769812,1,0.9312760882519647,1.025494854731553,0.10800149927703785,0.9550189393864029,112054.0,12672,12102.0
19,0.0,1,10,241,5.0,0.1,1800,2.09,0.11998922180407487,0.1,0.3246030858673183,1.1460185199025825,0.11918185725452132,0.372001262623327,39553.0,12672,4714.0
20,0.0,0,7,1801,2.0,0.005,2000,3.18,0.2670347154003646,1,0.6481533243881856,1.5428445833423516,0.15409122414466225,0.9999999999921085,82237.0,12672,12672.0
21,0.0,0,7,1801,2.0,0.005,2000,3.18,0.15539267437266757,0.1,0.6481533243881856,1.5428445833423516,0.15409122414466225,0.9999999999921085,82237.0,12672,12672.0
0,1.0,0,7,241,0.5,0.3,2000,4.15,0.21533185798730028,1,0.449584451400893,1.2902975685512479,0.1322027192285947,0.5800978535307757,55604.0,12672,7351.0
1,1.0,0,7,241,0.5,0.3,2000,10.620000000000001,0.3966124362221559,0.1,0.0022920393559907088,8.297186657064271,0.494866529672512,0.019018308080658,487.0,12672,241.0
2,1.0,1,1,4801,0.5,0.001,600,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,12672,0.0
3,1.0,1,1,4801,0.5,0.001,600,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,12672,0.0
4,1.0,1,10,6001,1.5,0.1,1600,6.58,0.22644469046400062,1,0.2606682319615937,1.5712088647442843,0.15648083938807705,0.4095643939361619,33167.0,12672,5190.0
5,1.0,1,10,6001,1.5,0.1,1600,6.58,0.157444068280257,0.1,0.2606682319615937,1.5712088647442843,0.15648083938807705,0.4095643939361619,33167.0,12672,5190.0
6,0.0,0,6,4801,5.0,0.005,1400,0.87,0.19798914619402833,1,0.5657703488366822,1.124773550239472,0.11723145361751897,0.6363636363586145,68787.0,12672,8064.0
7,0.0,0,6,4801,5.0,0.005,1400,0.9,0.1889026403129039,0.1,0.09212880143104117,1.9735194818624706,0.1889763779512059,0.181818181816747,12192.0,12672,2304.0
8,1.0,0,10,1201,0.5,0.3,1600,7.3,0.24113811822271103,1,0.22288685152036478,1.776291724441524,0.17336466360215155,0.3959122474716231,28939.0,12672,5017.0
9,1.0,0,10,1201,0.5,0.3,1600,11.39,0.3894257902130371,0.1,0.013295691711376997,5.786890284415576,0.40591174019958737,0.07694128787818069,2402.0,12672,975.0
10,1.0,0,4,5401,2.0,0.4,400,2.57,0.24728150998683368,1,0.238614341085049,1.7862090652866187,0.17416400631977633,0.4262152777744143,31011.0,12672,5401.0
11,1.0,0,4,5401,2.0,0.4,400,2.57,0.17518972889855938,0.1,0.238614341085049,1.7862090652866187,0.17416400631977633,0.4262152777744143,31011.0,12672,5401.0
0,1.0,0,10,4201,5.0,0.4,1000,3.09,0.22430629588747228,1,0.13684220333916886,1.9930041081605852,0.1904866890801384,0.2727272727251205,18143.0,12672,3456.0
1,1.0,0,10,4201,5.0,0.4,1000,3.61,0.20110180723247043,0.1,0.041992769827033025,2.1648696858020053,0.20356953524998112,0.0909090909083735,5659.0,12672,1152.0
2,0.0,1,10,6001,2.0,0.2,1200,4.25,0.2123402645903974,1,0.857651311865629,1.1445361034356358,0.11904602398327188,0.9816130050427587,104489.0,12672,12439.0
3,0.0,1,10,6001,2.0,0.2,1200,4.29,0.12102953908970589,0.1,0.5647827221223122,1.1555237233268132,0.12005167883618091,0.6526199494897994,68887.0,12672,8270.0
4,1.0,1,10,2401,3.0,0.001,200,3.58,0.27727551693191893,1,0.19088215563488475,2.206411336261363,0.2066682156125826,0.42116477272394914,25824.0,12672,5337.0
5,1.0,1,10,2401,3.0,0.001,200,3.58,0.20771557499587937,0.1,0.19088215563488475,2.206411336261363,0.2066682156125826,0.42116477272394914,25824.0,12672,5337.0
6,1.0,0,7,241,0.5,0.4,1400,6.25,0.20323219087301975,1,0.22221601073324554,1.4670147772074833,0.14763589578589886,0.3259943181792456,27981.0,12672,4131.0
7,1.0,0,7,241,0.5,0.4,1400,9.620000000000001,0.15931948719951725,0.1,0.007425834824083719,1.8384414606309527,0.17835051544553088,0.013652146464538729,970.0,12672,173.0
8,1.0,0,8,6001,1.5,0.1,2000,4.18,0.22866111547077794,1,0.4022529069763694,1.4142642455957475,0.14308681671997323,0.568892045450056,50382.0,12672,7209.0
9,1.0,0,8,6001,1.5,0.1,2000,10.98,0.29783814315377843,0.1,0.03907647584969526,3.6491900949233322,0.30111648058155116,0.14259785353422824,6001.0,12672,1807.0
10,0.0,1,5,2401,1.5,0.3,1400,2.91,0.20162610161705435,1,0.9350216159800471,1.0694938768817301,0.11211579636533885,0.9999999999921085,113026.0,12672,12672.0
11,0.0,1,5,2401,1.5,0.3,1400,2.98,0.11325894751908205,0.1,0.7342352415019993,1.0714481192665737,0.1122976580715845,0.7866950757513675,88773.0,12672,9969.0
