,smoothing,normalization,precision,lag_size,fut_size,chunk_size,thres,F1,beta,FPR,RFPR,Prec,Rec,tot_pred,tot_labels,tot_correctly_pred,prc,roc,order
126,0,0,2,800,500,18,0.05,0.7058823036047426,1,0.019738326189716462,31.89867436858456,0.8031496062088695,0.6296296295741067,889.0,1134,714.0,0.6179437787898081,0.8529065021000506,1
127,0,0,2,800,500,18,0.12,0.8180667669132918,0.1,0.015339499210293936,36.10210928488616,0.8219895286882213,0.5537918870763852,764.0,1134,628.0,0.6179437787898081,0.8529065021000506,1
128,1,0,8,1000,800,70,0.01,0.23468540974404054,1,0.8341980599951025,1.1987559405761425,0.13294255568425623,0.9999999999118165,8530.0,1134,1134.0,0.11213068983882957,0.5359652295136166,1
129,1,0,8,1000,800,70,0.09,0.1398050999177056,0.1,0.516129032252243,1.2592039005532174,0.13871635610504957,0.6499118165211718,5313.0,1134,737.0,0.11213068983882957,0.5359652295136166,1
130,1,0,64,800,500,9,0.22,0.2239280405043443,1,0.7854725919153454,1.1462559333682178,0.12786474639789774,0.9003527336066708,7985.0,1134,1021.0,0.20371613554927792,0.5511650336919154,3
131,1,0,64,800,500,9,0.92,0.695590836757638,0.1,0.0010151139183282752,39.08786016683507,0.8333333317901235,0.03968253967904034,54.0,1134,45.0,0.20371613554927792,0.5511650336919154,3
132,0,0,512,1000,80,9,0.89,0.22499998002678748,1,0.8811188811089429,1.1349205060288845,0.12676056337886474,0.9999999999118165,8946.0,1134,1134.0,0.11925991010158893,0.39542407015525294,5
133,0,0,512,1000,80,9,0.89,0.12786607247219564,0.1,0.8811188811089429,1.1349205060288845,0.12676056337886474,0.9999999999118165,8946.0,1134,1134.0,0.11925991010158893,0.39542407015525294,5
134,1,1,4,80,80,5,0.29,0.3670019624241775,1,0.10094743965597848,3.9834195409945017,0.3375277571918928,0.40211640208094207,1351.0,1134,456.0,0.27266936328280716,0.711203173568765,20
135,1,1,4,80,80,5,0.88,0.49396652413492204,0.1,0.002255808707396167,11.726993368995279,0.5999999988,0.02645502645269356,50.0,1134,30.0,0.27266936328280716,0.711203173568765,20
136,1,0,1,800,100,12,0.99,0.20932162407893193,1,0.9662756598131482,1.0349012585239536,0.11689516544565616,0.9999999999118165,9701.0,1134,1134.0,0.11689516544686115,0.5168621700879765,5
137,1,0,1,800,100,12,0.99,0.11792625521633603,0.1,0.9662756598131482,1.0349012585239536,0.11689516544565616,0.9999999999118165,9701.0,1134,1134.0,0.11689516544686115,0.5168621700879765,5
138,0,1,16,2000,2000,20,0.03,0.2226318279051261,1,0.8508910444298342,1.1265292841247103,0.1259413741150974,0.9585537918025966,8631.0,1134,1087.0,0.11884220784586527,0.5364922313847045,45
139,0,1,16,2000,2000,20,0.24,0.14293303109466687,0.1,0.3120911346682597,1.2941089836772564,0.14201550387156542,0.4038800705111217,3225.0,1134,458.0,0.11884220784586527,0.5364922313847045,45
140,0,1,64,1000,40,40,0.99,0.20816886615555166,1,0.9730430859353367,1.0277036151798007,0.11617662124663275,0.9999999999118165,9761.0,1134,1134.0,0.11617662124782296,0.5134784570268441,5
141,0,1,64,1000,40,40,0.99,0.11720221416642086,0.1,0.9730430859353367,1.0277036151798007,0.11617662124663275,0.9999999999118165,9761.0,1134,1134.0,0.11617662124782296,0.5134784570268441,5
142,0,0,64,1800,40,8,0.14,0.2210428937271752,1,0.7417099029918598,1.1389858228260754,0.12715688876921746,0.8447971780560143,7534.0,1134,958.0,0.13141467105164323,0.449933479503372,8
143,0,0,64,1800,40,8,0.8,0.5749934270602982,0.1,0.003158132190354634,14.519318536715883,0.6499999991875001,0.04585537918466884,80.0,1134,52.0,0.13141467105164323,0.449933479503372,8
144,0,0,8,1800,1800,30,0.1,0.2730066011227439,1,0.4742837807300441,1.5692459891113313,0.16716181421732695,0.7442680775357787,5049.0,1134,844.0,0.15292323785600584,0.6621308798728154,20
145,0,0,8,1800,1800,30,0.22,0.184152262848614,0.1,0.28299120234284914,1.751258165100926,0.18300227938186253,0.49559082888045936,3071.0,1134,562.0,0.15292323785600584,0.6621308798728154,20
146,0,1,256,1500,80,50,0.99,0.208935955490702,1,0.9685314685205444,1.0324908680460885,0.11665466515670553,0.9999999999118165,9721.0,1134,1134.0,0.11665466515790557,0.5157342657342657,45
147,0,1,256,1500,80,50,0.99,0.11768391626141078,0.1,0.9685314685205444,1.0324908680460885,0.11665466515670553,0.9999999999118165,9721.0,1134,1134.0,0.11665466515790557,0.5157342657342657,45
148,1,1,1,1500,1200,35,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,1134,0.0,0.1134,0.5,8
149,1,1,1,1500,1200,35,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,1134,0.0,0.1134,0.5,8
150,0,0,4,1200,100,35,0.32,0.2557509675762418,1,0.16286938867400327,2.0466284754606985,0.20746432490628625,0.33333333330393883,1822.0,1134,378.0,0.13986006800650574,0.5125837921536847,45
151,0,0,4,1200,100,35,0.9,0.36701635589169684,0.1,0.008008120911256394,5.175457641404837,0.39830508440821605,0.04144620810921991,118.0,1134,47.0,0.13986006800650574,0.5125837921536847,45
152,1,1,32,1200,80,1,0.29,0.23036055185090473,1,0.7550191743654971,1.1901538088966632,0.13211461169282882,0.8985890651764912,7713.0,1134,1019.0,0.12194898986969213,0.5552505041752354,8
153,1,1,32,1200,80,1,0.38,0.1337851993020377,0.1,0.4522896458329315,1.1971224487258871,0.13278546712515601,0.5414462080651281,4624.0,1134,614.0,0.12194898986969213,0.5552505041752354,8
154,0,1,32,1500,500,18,0.07,0.24566249234450924,1,0.5164674035583524,1.3659472613694115,0.14872652909186232,0.7054673720718282,5379.0,1134,800.0,0.12404786905898141,0.5750243881964312,8
155,0,1,32,1500,500,18,0.07,0.1498977588968097,0.1,0.5164674035583524,1.3659472613694115,0.14872652909186232,0.7054673720718282,5379.0,1134,800.0,0.12404786905898141,0.5750243881964312,8
156,1,1,128,2000,1500,7,0.15,0.23402893958020482,1,0.807466726812458,1.2002174828771823,0.1330830709598803,0.969135802383674,8258.0,1134,1099.0,0.11804807644582309,0.5553414625995272,3
157,1,1,128,2000,1500,7,0.16,0.13464215412657196,0.1,0.7188134446117886,1.20470907331866,0.1335146159057306,0.8659611992181692,7355.0,1134,982.0,0.11804807644582309,0.5553414625995272,3
158,0,1,32,80,80,35,0.09,0.23405569168979456,1,0.3546131288026775,1.409986879632543,0.15278900565473488,0.49999999995590827,3711.0,1134,567.0,0.11922883661685528,0.5682629795533021,8
159,0,1,32,80,80,35,0.09,0.15384674312379013,0.1,0.3546131288026775,1.409986879632543,0.15278900565473488,0.49999999995590827,3711.0,1134,567.0,0.11922883661685528,0.5682629795533021,8
160,0,0,4,1500,800,12,0.1,0.4688871261328256,1,0.2065192871621191,3.8771443122333396,0.33150784956803553,0.800705467301525,2739.0,1134,908.0,0.2970152535837359,0.7850942864383723,1
161,0,0,4,1500,800,12,0.65,0.4141371345625984,0.1,0.017708098353059913,5.826374942749423,0.42700729911423085,0.10317460316550488,274.0,1134,117.0,0.2970152535837359,0.7850942864383723,1
162,1,0,256,1000,800,15,0.96,0.2174704955237971,1,0.920482743053006,1.0863863541389567,0.12200107584591714,0.9999999999118165,9295.0,1134,1134.0,0.1386634818785823,0.5829019646223947,5
163,1,0,256,1000,800,15,0.99,0.22490223746002763,0.1,0.027069704488754006,2.3454939806765855,0.23076923069526625,0.06349206348646454,312.0,1134,72.0,0.1386634818785823,0.5829019646223947,5
164,0,0,256,1000,500,35,0.99,0.2112715227867682,1,0.9549966162761674,1.0471240192438893,0.11811269659287456,0.9999999999118165,9601.0,1134,1134.0,0.11811269659410478,0.5225016918565306,5
165,0,0,256,1000,500,35,0.99,0.11915307673148229,0.1,0.9549966162761674,1.0471240192438893,0.11811269659287456,0.9999999999118165,9601.0,1134,1134.0,0.11811269659410478,0.5225016918565306,5
166,0,1,2,1500,1200,5,0.03,0.7230989459849482,1,0.02267087750933148,29.4061721129349,0.7899686519550713,0.6666666666078777,957.0,1134,756.0,0.6105938402335525,0.854656892291301,3
167,0,1,2,1500,1200,5,0.14,0.8147495074886639,0.1,0.015452289645663744,35.324981550264965,0.8187830686747641,0.5458553791405771,756.0,1134,619.0,0.6105938402335525,0.854656892291301,3
168,1,1,256,2000,2000,9,0.74,0.22294370311487222,1,0.8907060681153766,1.1217146590673517,0.12547065337624064,0.9991181656967267,9030.0,1134,1133.0,0.11292417649153294,0.4873072964470814,1
169,1,1,256,2000,2000,9,0.8200000000000001,0.13262409931020522,0.1,0.19794721407401367,1.1894565810624569,0.13204747773827658,0.23544973542897266,2022.0,1134,267.0,0.11292417649153294,0.4873072964470814,1
170,1,1,4,500,100,4,0.34,0.347826037946012,1,0.11854274757366857,3.421916608585039,0.30443414954967346,0.40564373894130124,1511.0,1134,460.0,0.20998500355802807,0.6166704164015993,5
171,1,1,4,500,100,4,0.48,0.331151194868716,0.1,0.06508008120837942,3.888840120472531,0.33217592588747963,0.2530864197307684,864.0,1134,287.0,0.20998500355802807,0.6166704164015993,5
172,0,0,8,1500,100,90,0.0,0.2037003589239178,1,0.9999999999887209,0.9999998999231057,0.11339999999886599,0.9999999999118165,10000.0,1134,1134.0,0.08781600567067444,0.3421833045488959,45
173,0,0,8,1500,100,90,0.0,0.11440425413423087,0.1,0.9999999999887209,0.9999998999231057,0.11339999999886599,0.9999999999118165,10000.0,1134,1134.0,0.08781600567067444,0.3421833045488959,45
174,1,1,64,1500,80,4,0.05,0.2103700767103156,1,0.9601849763031786,1.0414658846416671,0.11754949725181352,0.9999999999118165,9647.0,1134,1134.0,0.09619955558936874,0.41991903954269544,5
175,1,1,64,1500,80,4,0.65,0.18708724729084292,0.1,0.019061583577497612,1.8967476126485778,0.19523809514512472,0.0361552028186812,210.0,1134,41.0,0.09619955558936874,0.41991903954269544,5
176,1,1,4,1500,80,25,0.01,0.20976690685771676,1,0.9636814797996426,1.0376871581583254,0.11717296962061197,0.9999999999118165,9678.0,1134,1134.0,0.11894820738643519,0.44233066813711974,1
177,1,1,4,1500,80,25,0.96,0.3564309635030564,0.1,0.003270922625724442,5.930974790392539,0.4313725481737793,0.019400352731975275,51.0,1134,22.0,0.11894820738643519,0.44233066813711974,1
178,1,1,4,500,500,12,0.1,0.4688871261328256,1,0.2065192871621191,3.8771443122333396,0.33150784956803553,0.800705467301525,2739.0,1134,908.0,0.2970152535837359,0.7850942864383723,5
