,smoothing,normalization,wsize,memory,thres,F1,beta,FPR,RFPR,Prec,Rec,tot_pred,tot_labels,tot_correctly_pred,prc,roc,order
17,0,1,2401,600,0,0.1065434794,0.1,1,0.9999999,0.1056,1,120000,12672,12672,0.1215448397,0.4927866267,5
18,0,0,601,800,0,0.1910274791,1,1,0.9999999,0.1056,1,120000,12672,12672,0.1024017599,0.4257329202,5
19,0,0,601,800,0,0.1065434794,0.1,1,0.9999999,0.1056,1,120000,12672,12672,0.1024017599,0.4257329202,5
20,0,0,601,200,0,0.1910274791,1,1,0.9999999,0.1056,1,120000,12672,12672,0.0990939976,0.3970196005,3
21,0,0,601,200,0,0.1065434794,0.1,1,0.9999999,0.1056,1,120000,12672,12672,0.0990939976,0.3970196005,3
22,0,1,3601,600,0,0.1910274791,1,1,0.9999999,0.1056,1,120000,12672,12672,0.1696512024,0.5860405774,20
23,0,1,3601,600,0,0.1065434794,0.1,1,0.9999999,0.1056,1,120000,12672,12672,0.1696512024,0.5860405774,20
24,0,0,1201,400,0,0.1910274791,1,1,0.9999999,0.1056,1,120000,12672,12672,0.0982128132,0.401679978,8
25,0,0,1201,400,0,0.1065434794,0.1,1,0.9999999,0.1056,1,120000,12672,12672,0.0982128132,0.401679978,8
0,0,0,1801,800,0,0.1910274791,1,1,0.9999999,0.1056,1,120000,12672,12672,0.08198495,0.3488173183,20
1,0,0,1801,800,0,0.1065434794,0.1,1,0.9999999,0.1056,1,120000,12672,12672,0.08198495,0.3488173183,20
2,0,0,1801,800,0,0.1910274791,1,1,0.9999999,0.1056,1,120000,12672,12672,0.0954715288,0.4026629377,3
3,0,0,1801,800,0,0.1065434794,0.1,1,0.9999999,0.1056,1,120000,12672,12672,0.0954715288,0.4026629377,3
4,0,1,3601,600,0,0.1910274791,1,1,0.9999999,0.1056,1,120000,12672,12672,0.1048317998,0.4642979206,20
5,0,1,3601,600,0,0.1065434794,0.1,1,0.9999999,0.1056,1,120000,12672,12672,0.1048317998,0.4642979206,20
6,0,1,3601,600,0,0.1910274791,1,1,0.9999999,0.1056,1,120000,12672,12672,0.1225390939,0.5694190673,5
7,0,1,3601,600,0,0.1065434794,0.1,1,0.9999999,0.1056,1,120000,12672,12672,0.1225390939,0.5694190673,5
8,0,1,3001,600,0,0.1910274791,1,1,0.9999999,0.1056,1,120000,12672,12672,0.1366933234,0.46599241,3
9,0,1,3001,600,0,0.1065434794,0.1,1,0.9999999,0.1056,1,120000,12672,12672,0.1366933234,0.46599241,3
10,0,1,1801,200,0,0.1910274791,1,1,0.9999999,0.1056,1,120000,12672,12672,0.1269974979,0.5287728652,1
11,0,1,1801,200,0,0.1065434794,0.1,1,0.9999999,0.1056,1,120000,12672,12672,0.1269974979,0.5287728652,1
12,0,0,3001,800,0,0.1910274791,1,1,0.9999999,0.1056,1,120000,12672,12672,0.0948821193,0.3826997602,1
13,0,0,3001,800,0,0.1065434794,0.1,1,0.9999999,0.1056,1,120000,12672,12672,0.0948821193,0.3826997602,1
14,0,1,2401,600,0,0.1910274791,1,1,0.9999999,0.1056,1,120000,12672,12672,0.1317780472,0.5193206961,20
15,0,1,2401,600,0,0.1065434794,0.1,1,0.9999999,0.1056,1,120000,12672,12672,0.1317780472,0.5193206961,20
