,smoothing,normalization,wsize,memory,thres,F1,beta,FPR,RFPR,Prec,Rec,tot_pred,tot_labels,tot_correctly_pred
40,1,1,301,200,0.02,0.21628836521875483,1,0.9269117978690851,1.0788511855449874,0.12125748502864352,0.9999999999118165,9352.0,1134,1134.0
41,1,1,301,200,0.02,0.1223217234013044,0.1,0.9269117978690851,1.0788511855449874,0.12125748502864352,0.9999999999118165,9352.0,1134,1134.0
42,0,0,251,1000,0.04,0.2883333026679255,1,0.4512745319146032,1.690293542130704,0.17776407726720583,0.7627865960526643,4866.0,1134,865.0
43,0,0,251,1000,0.06,0.19029750240198767,0.1,0.2741935483840041,1.823528746572808,0.18912608404972897,0.49999999995590827,2998.0,1134,567.0
44,1,0,101,1400,0.16,0.36995963657821485,1,0.23685991427659756,2.732695579085989,0.2589978828419549,0.6472663138759024,2834.0,1134,734.0
45,1,0,101,1400,0.16,0.26054527258470817,0.1,0.23685991427659756,2.732695579085989,0.2589978828419549,0.6472663138759024,2834.0,1134,734.0
46,1,0,175,600,0.08,0.26937364746211356,1,0.6076020753371576,1.4731048779071003,0.15854420493348104,0.8950617283161321,6402.0,1134,1015.0
47,1,0,175,600,0.08,0.15984648960641193,0.1,0.6076020753371576,1.4731048779071003,0.15854420493348104,0.8950617283161321,6402.0,1134,1015.0
48,0,1,75,600,0.13,0.5144085521363443,1,0.06688472817429636,7.884252303818364,0.5020990763642234,0.5273368606236916,1191.0,1134,598.0
49,0,1,75,600,0.2,0.9333058394860976,0.1,0.0,1216931.2168239038,0.9999999992753623,0.12169312168239037,138.0,1134,138.0
50,1,0,201,1400,0.08,0.3731843196867652,1,0.2826528310367397,2.605073178966119,0.2499251720966799,0.7363315695999707,3341.0,1134,835.0
51,1,0,201,1400,0.08,0.2515705106964217,0.1,0.2826528310367397,2.605073178966119,0.2499251720966799,0.7363315695999707,3341.0,1134,835.0
52,1,0,101,600,0.15,0.37319052629883426,1,0.3347620121775912,2.4787930479996376,0.2407265285177609,0.8298059963994879,3909.0,1134,941.0
53,1,0,101,600,0.15,0.2424304743396823,0.1,0.3347620121775912,2.4787930479996376,0.2407265285177609,0.8298059963994879,3909.0,1134,941.0
54,1,1,11,1000,0.31,0.30790002024601326,1,0.15474847732737707,2.5985143710255123,0.2494529540344938,0.40211640208094207,1828.0,1134,456.0
55,1,1,11,1000,1.41,0.791171383287287,0.1,0.0,361552.028186812,0.9999999975609756,0.0361552028186812,41.0,1134,41.0
56,0,1,11,1600,0.23,0.3571191033817124,1,0.15125197383091302,3.1366631590696294,0.2863225119592165,0.4744268077183045,1879.0,1134,538.0
57,0,1,11,1600,1.3900000000000001,0.7952738983055313,0.1,0.0,370370.37033770984,0.9999999976190476,0.03703703703377098,42.0,1134,42.0
58,0,1,11,1400,0.22,0.2924351354960851,1,0.23234829686180522,2.0760346194297594,0.20981971614078176,0.48236331565411256,2607.0,1134,547.0
59,0,1,11,1400,1.35,0.7824773775930657,0.1,0.0,343915.3438850163,0.9999999974358974,0.03439153438850163,39.0,1134,39.0
60,1,1,301,200,0.04,0.22881456588738044,1,0.6936611775243213,1.1962697404143237,0.13270342687727113,0.8298059963994879,7091.0,1134,941.0
61,1,1,301,200,0.04,0.13381644438809884,0.1,0.6936611775243213,1.1962697404143237,0.13270342687727113,0.8298059963994879,7091.0,1134,941.0
62,0,1,101,1800,0.06,0.5257031512239912,1,0.04353710805274603,10.978061431950676,0.5840517240749944,0.47795414457866364,928.0,1134,542.0
63,0,1,101,1800,0.09,0.9742457683153241,0.1,0.0,2724867.7246274366,0.9999999996763753,0.27248677246274366,309.0,1134,309.0
64,0,1,125,200,0.1,0.44418326922581336,1,0.021430182720263587,15.554313382377948,0.6654929576293147,0.33333333330393883,568.0,1134,378.0
65,0,1,125,200,0.11,0.925993068056775,0.1,0.0,1102292.7688622316,0.9999999992,0.11022927688622317,125.0,1134,125.0
66,1,0,201,1400,0.08,0.365689430831119,1,0.29652605458722614,2.5040098406806273,0.24258138864181558,0.7425044091055992,3471.0,1134,842.0
67,1,0,201,1400,0.08,0.24420932069077755,0.1,0.29652605458722614,2.5040098406806273,0.24258138864181558,0.7425044091055992,3471.0,1134,842.0
68,0,1,275,400,0.04,0.42989925357216496,1,0.10072185878523886,4.859099200189072,0.38328729279120943,0.48941798937483083,1448.0,1134,555.0
69,0,1,275,400,0.05,0.5693607492921486,0.1,0.01364764267974681,11.048981089314529,0.5856164381556108,0.15079365078035328,292.0,1134,171.0
70,1,0,75,800,0.21,0.35683526435427676,1,0.21644484547466222,2.701176889681489,0.2567776917019064,0.5846560846045277,2582.0,1134,663.0
71,1,0,75,800,0.21,0.25821137449804793,0.1,0.21644484547466222,2.701176889681489,0.2567776917019064,0.5846560846045277,2582.0,1134,663.0
72,1,1,251,600,0.05,0.5555860125412111,1,0.1688472817486031,5.2853423987324915,0.40334794737332214,0.8924162256708627,2509.0,1134,1012.0
73,1,1,251,600,0.05,0.4055484124921185,0.1,0.1688472817486031,5.2853423987324915,0.40334794737332214,0.8924162256708627,2509.0,1134,1012.0
74,0,0,125,600,0.12,0.41011471053330983,1,0.2940446650090904,2.894015193691121,0.27015677490845025,0.8509700175616428,3572.0,1134,965.0
75,0,0,125,600,0.12,0.2719948109308638,0.1,0.2940446650090904,2.894015193691121,0.27015677490845025,0.8509700175616428,3572.0,1134,965.0
76,1,0,125,1800,0.07,0.48621873998367027,1,0.2685540266155137,3.707225956210106,0.3216524216432578,0.9955908288363676,3510.0,1134,1129.0
77,1,0,125,1800,0.07,0.32382271686407643,0.1,0.2685540266155137,3.707225956210106,0.3216524216432578,0.9955908288363676,3510.0,1134,1129.0
78,0,1,301,1800,0.03,0.8077651017114534,1,0.014098804421226045,53.351988423946985,0.8721881389701239,0.7522045854715869,978.0,1134,853.0
79,0,1,301,1800,0.03,0.8708127506124012,0.1,0.014098804421226045,53.351988423946985,0.8721881389701239,0.7522045854715869,978.0,1134,853.0
80,1,1,201,1200,0.06,0.5501718829282125,1,0.1336566659132229,5.8060218947901285,0.42615012104473854,0.776014109279011,2065.0,1134,880.0
81,1,1,201,1200,0.07,0.47629612796559734,0.1,0.07038123167076041,7.104156572297862,0.476070528927282,0.49999999995590827,1191.0,1134,567.0
82,0,1,25,1800,0.09,0.3971086133310688,1,0.27227611098271737,2.846860077368722,0.26692985119140816,0.7751322750639212,3293.0,1134,879.0
83,0,1,25,1800,0.4,0.8832178409773267,0.1,0.0,696649.0299209304,0.9999999987341773,0.06966490299209303,79.0,1134,79.0
84,0,0,275,800,0.05,0.37751816771027297,1,0.41258741258275894,2.3831190228470285,0.23360569871708348,0.9832451498251106,4773.0,1134,1115.0
85,0,0,275,800,0.05,0.23538249491334443,0.1,0.41258741258275894,2.3831190228470285,0.23360569871708348,0.9832451498251106,4773.0,1134,1115.0
86,1,0,11,1800,0.45,0.4373503169812868,1,0.20336115497176446,3.564433770358307,0.31314285713092793,0.7248677248038035,2625.0,1134,822.0
87,1,0,11,1800,1.5,0.36240341271546134,0.1,0.08921723437751841,4.437966739735795,0.362096774164347,0.3959435625753136,1240.0,1134,449.0
88,1,0,225,200,0.06,0.21736909882673977,1,0.8572073088105435,1.0955965025708139,0.12290825158542516,0.9391534390706213,8665.0,1134,1065.0
89,1,0,225,200,0.06,0.12397507308417914,0.1,0.8572073088105435,1.0955965025708139,0.12290825158542516,0.9391534390706213,8665.0,1134,1065.0
90,1,0,125,1000,0.04,0.3092867596087931,1,0.5712835551480793,1.7504439185339762,0.18293273108270797,0.9999999999118165,6199.0,1134,1134.0
91,1,0,125,1000,0.12,0.19604174720826473,0.1,0.35416196706119824,1.8898471392123757,0.19466529878957,0.6693121692531471,3899.0,1134,759.0
92,1,0,225,400,0.06,0.264859463457852,1,0.6590345138657903,1.4250441772120277,0.15416907932608326,0.9391534390706213,6908.0,1134,1065.0
93,1,0,225,400,0.06,0.1554555616053004,0.1,0.6590345138657903,1.4250441772120277,0.15416907932608326,0.9391534390706213,6908.0,1134,1065.0
94,1,0,251,800,0.06,0.34179030064953314,1,0.45815474847216153,2.061408817369629,0.20864991232790475,0.94444444436116,5133.0,1134,1071.0
95,1,0,251,800,0.06,0.210271849391224,0.1,0.45815474847216153,2.061408817369629,0.20864991232790475,0.94444444436116,5133.0,1134,1071.0
96,1,0,11,2000,0.56,0.420396556933324,1,0.18655538010166303,3.5073801490047347,0.3096828046615325,0.6543209875966207,2396.0,1134,742.0
97,1,0,11,2000,1.52,0.3661613608590409,0.1,0.10184976313893694,4.502252410699454,0.36542515809097503,0.4585537918466883,1423.0,1134,520.0
98,0,0,75,200,0.19,0.2743617825161637,1,0.3105120685730824,1.7550795108283235,0.18332838919657882,0.5449735449254873,3371.0,1134,618.0
99,0,0,75,200,0.19,0.18454084622816794,0.1,0.3105120685730824,1.7550795108283235,0.18332838919657882,0.5449735449254873,3371.0,1134,618.0
100,1,1,201,1600,0.06,0.6178925945683236,1,0.06812542296336424,10.057686977217541,0.5626357711395629,0.6851851851247631,1381.0,1134,777.0
101,1,1,201,1600,0.07,0.9565638304985006,0.1,0.0,1790123.4566322642,0.9999999995073892,0.1790123456632264,203.0,1134,203.0
102,1,0,75,1600,0.09,0.5094200724314218,1,0.2156553124270736,4.256741843745264,0.35252285809845846,0.9179894179084664,2953.0,1134,1041.0
103,1,0,75,1600,0.22,0.3685196193352183,0.1,0.12869388675695134,4.536142403389377,0.36716583469954706,0.5837742503894379,1803.0,1134,662.0
104,1,1,175,2000,0.07,0.6757588588717142,1,0.0418452515221989,16.18456178650275,0.6742756803622233,0.6772486771889551,1139.0,1134,768.0
105,1,1,175,2000,0.08,0.7721492301537968,0.1,0.017482517482320294,27.23793943498694,0.7769784171543916,0.47619047614848403,695.0,1134,540.0
