,smoothing,normalization,wsize,memory,thres,F1,beta,FPR,RFPR,Prec,Rec,tot_pred,tot_labels,tot_correctly_pred,prc,roc,order
78,0,1,75,800,0.05,0.3343108026659626,1,0.028770706189702695,9.570893390355964,0.42537313422254397,0.27536231879623796,402.0,621,171.0,0.32059725408418155,0.8077686983717839,20
79,0,1,75,800,0.05,0.4230909046580174,0.1,0.028770706189702695,9.570893390355964,0.42537313422254397,0.27536231879623796,402.0,621,171.0,0.32059725408418155,0.8077686983717839,20
80,1,1,225,600,0.01,0.1432360609694757,1,0.9252708930013044,1.0807644543089656,0.07714285714189885,0.9999999998389695,8050.0,621,621.0,0.41283172923262634,0.9229696536849412,8
81,1,1,225,600,0.01,0.07785421895897579,0.1,0.9252708930013044,1.0807644543089656,0.07714285714189885,0.9999999998389695,8050.0,621,621.0,0.41283172923262634,0.9229696536849412,8
82,1,1,301,400,0.01,0.17238027570719647,1,0.7426827749315895,1.346469716204352,0.09431956257450912,0.9999999998389695,6584.0,621,621.0,0.46438515471476305,0.9275488672403119,20
83,1,1,301,400,0.01,0.09517298194268409,0.1,0.7426827749315895,1.346469716204352,0.09431956257450912,0.9999999998389695,6584.0,621,621.0,0.46438515471476305,0.9275488672403119,20
84,1,1,25,400,0.13,0.22256326550137207,1,0.06688255075268548,3.4911051111737152,0.21260997064331233,0.23349436389154682,682.0,621,145.0,0.15830868450488156,0.6040160577327478,8
85,1,1,25,400,0.16,0.44523151279220424,0.1,0.011707560094511052,10.86589204375591,0.4566473985799726,0.1272141706719462,173.0,621,79.0,0.15830868450488156,0.6040160577327478,8
86,1,0,125,200,0.08,0.4377757668020893,1,0.03288080707394594,12.14552495934271,0.48437499990539556,0.3993558775524387,512.0,621,248.0,0.4308734363970982,0.7706514368505952,1
87,1,0,125,200,0.09,0.8929192908875057,0.1,0.0011209366047936116,166.62746810807968,0.9279999992576,0.18679549111323746,125.0,621,116.0,0.4308734363970982,0.7706514368505952,1
88,1,1,75,1800,0.05,0.6232709018976618,1,0.028023415119840286,22.008202012766382,0.6299342104227083,0.6167471818652581,608.0,621,383.0,0.6987475067844227,0.8811452205561602,45
89,1,1,75,1800,0.06,0.948028268270859,0.1,0.0,1529790.6599790999,0.9999999989473685,0.15297906599790997,95.0,621,95.0,0.6987475067844227,0.8811452205561602,45
90,0,1,225,1400,0.01,0.1577944207302104,1,0.8256320836863167,1.211193094937419,0.08565517241261165,0.9999999998389695,7250.0,621,621.0,0.1938769792856472,0.8135510786282174,3
91,0,1,225,1400,0.01,0.0864376771515645,0.1,0.8256320836863167,1.211193094937419,0.08565517241261165,0.9999999998389695,7250.0,621,621.0,0.1938769792856472,0.8135510786282174,3
92,1,0,301,1600,0.02,0.25352108267802426,1,0.023041474654090902,8.176776105779723,0.38741721841476245,0.1884057970711102,302.0,621,117.0,0.3293640534762005,0.8255107441643207,45
93,1,0,301,1600,0.02,0.3834072174947216,0.1,0.023041474654090902,8.176776105779723,0.38741721841476245,0.1884057970711102,302.0,621,117.0,0.3293640534762005,0.8255107441643207,45
94,0,0,175,1600,0.02,0.24097783506751974,1,0.1108481753629238,3.0071133916003965,0.18869644483238865,0.3333333332796565,1097.0,621,207.0,0.20906133261534832,0.831344969493637,5
95,0,0,175,1600,0.02,0.18951055339684764,0.1,0.1108481753629238,3.0071133916003965,0.18869644483238865,0.3333333332796565,1097.0,621,207.0,0.20906133261534832,0.831344969493637,5
96,0,0,51,1000,0.07,0.3003194409093566,1,0.08830489475540784,4.285396326088546,0.24894067793973088,0.37842190010009313,944.0,621,235.0,0.21308963674618653,0.7296196216252318,8
97,0,0,51,1000,0.08,0.25525723390327815,0.1,0.0485739195410565,4.442312997641896,0.2557251907908922,0.2157809983549467,524.0,621,134.0,0.21308963674618653,0.7296196216252318,8
98,0,1,275,600,0.01,0.3756805502282626,1,0.2570681280326682,3.8900178660425104,0.23128491619250338,0.9999999998389695,2685.0,621,621.0,0.5141645937896547,0.9514377130085405,20
99,0,1,275,600,0.01,0.23305871240081477,0.1,0.2570681280326682,3.8900178660425104,0.23128491619250338,0.9999999998389695,2685.0,621,621.0,0.5141645937896547,0.9514377130085405,20
100,0,0,251,1600,0.01,0.16190847162327543,1,0.8007223813575698,1.2488721412486614,0.0880851063817293,0.9999999998389695,7050.0,621,621.0,0.3212497444290961,0.6999145007560155,5
101,0,0,251,1600,0.01,0.08888765177414334,0.1,0.8007223813575698,1.2488721412486614,0.0880851063817293,0.9999999998389695,7050.0,621,621.0,0.3212497444290961,0.6999145007560155,5
102,0,0,301,200,0.0,0.1339661184438048,1,0.9999999999875452,0.9999998998514343,0.0717919075136209,0.9999999998389695,8650.0,621,621.0,0.05894876654164223,0.306784143390034,3
103,0,0,301,200,0.0,0.0724578005058431,0.1,0.9999999999875452,0.9999998998514343,0.0717919075136209,0.9999999998389695,8650.0,621,621.0,0.05894876654164223,0.306784143390034,3
104,1,1,11,1200,0.18,0.15394148306011268,1,0.8501681404801325,1.1762377753304682,0.08338928427442743,0.9999999998389695,7447.0,621,621.0,0.09805318947491976,0.5491278696047279,5
105,1,1,11,1200,0.62,0.6996514834724276,0.1,0.0,225442.83410218314,0.9999999928571429,0.022544283410218312,14.0,621,14.0,0.09805318947491976,0.5491278696047279,5
106,1,0,301,400,0.03,0.4098295308315807,1,0.17249968862657244,4.826256233985665,0.27181913773544586,0.8325281802202048,1902.0,621,517.0,0.2344489594222568,0.8410819154157162,1
107,1,0,301,400,0.03,0.2736438533785517,0.1,0.17249968862657244,4.826256233985665,0.27181913773544586,0.8325281802202048,1902.0,621,517.0,0.2344489594222568,0.8410819154157162,1
108,1,1,51,1400,0.11,0.48012465769251156,1,0.04409017312188205,11.249062432744385,0.46525679751280113,0.49597423502480287,662.0,621,308.0,0.4089668908051249,0.8032736202441673,1
109,1,1,51,1400,0.19,0.9541033834222921,0.1,0.0,1706924.3153451008,0.9999999990566039,0.17069243153451008,106.0,621,106.0,0.4089668908051249,0.8032736202441673,1
110,0,1,175,1600,0.02,0.4364454021047185,1,0.00921658986163636,33.89496234734393,0.7238805967448206,0.31239935582731093,268.0,621,194.0,0.6815657331874485,0.9420333978538747,5
111,0,1,175,1600,0.02,0.7145616083559432,0.1,0.00921658986163636,33.89496234734393,0.7238805967448206,0.31239935582731093,268.0,621,194.0,0.6815657331874485,0.9420333978538747,5
112,1,1,251,600,0.02,0.4411231479361565,1,0.13700336280810807,5.724081606480471,0.3068683049586094,0.7842190014840228,1587.0,621,487.0,0.3754941673580731,0.8989457299415223,5
113,1,1,251,600,0.03,0.4675836397040634,0.1,0.03462448623695822,11.394358822913679,0.4684512427402579,0.39452495967882045,523.0,621,245.0,0.3754941673580731,0.8989457299415223,5
114,1,1,101,600,0.06,0.5259212516363763,1,0.06962261800884764,9.737321777329488,0.429591836690858,0.6779388082644221,980.0,621,421.0,0.615831346922967,0.9262360938377769,1
115,1,1,101,600,0.07,0.9808556246912283,0.1,0.0,3365539.4519540197,0.9999999995215312,0.33655394519540194,209.0,621,209.0,0.615831346922967,0.9262360938377769,1
116,1,0,301,800,0.03,0.38161204300571944,1,0.08270021173143978,5.899889553257245,0.3133402274753526,0.4879227052354392,967.0,621,303.0,0.31838752140861964,0.8691775325716421,1
117,1,0,301,800,0.04,0.3813675938555647,0.1,0.023041474654090902,8.106889130516649,0.3853820596726305,0.18679549111323746,301.0,621,116.0,0.31838752140861964,0.8691775325716421,1
118,0,0,275,2000,0.01,0.1713339614299329,1,0.7481629094439138,1.3366071126427892,0.09369342184529733,0.9999999998389695,6628.0,621,621.0,0.2126202583227549,0.8201236700535438,1
119,0,0,275,2000,0.01,0.09454176719280337,0.1,0.7481629094439138,1.3366071126427892,0.09369342184529733,0.9999999998389695,6628.0,621,621.0,0.2126202583227549,0.8201236700535438,1
120,0,0,11,1000,0.29,0.16247375062427294,1,0.14098891518070758,1.7703324131341842,0.12043512042576261,0.2495974234702742,1287.0,621,155.0,0.09592671452379553,0.5640533340393088,1
121,0,0,11,1000,0.49,0.20414921570673392,0.1,0.01594220949039803,3.434283006527312,0.20987654308032314,0.054750402567673044,162.0,621,34.0,0.09592671452379553,0.5640533340393088,1
122,1,1,201,400,0.03,0.235047192021512,1,0.341636567438764,2.111650000965704,0.1403948605408839,0.721417069126986,3191.0,621,448.0,0.14881401516688314,0.74044391014938,1
