,smoothing,normalization,wsize,memory,thres,F1,FPR,RFPR,Prec,Rec,tot_pred,tot_labels,tot_correctly_pred
36,0,1,175,1600,0.02,0.35908831872889735,0.027898866608196553,7.330338055953444,0.36182336172027824,0.20450885664983756,351.0,621,127.0
37,0,0,11,1400,0.92,0.1218061784600567,0.00921658986163636,1.9218793083545525,0.12941176455363324,0.017713365536600103,85.0,621,11.0
38,1,1,25,1800,0.4,0.4492073325578942,0.003113712791093365,12.928731316786259,0.499999999,0.040257648946818415,50.0,621,25.0
39,1,0,275,1000,0.05,0.20601869899386582,0.2573172250559557,3.323027174499349,0.20446669232943912,0.8550724636304231,2597.0,621,531.0
40,0,0,175,600,0.04,0.28995487943536336,0.06015693112392381,5.273369841796764,0.2897058823103374,0.3172302737009291,680.0,621,197.0
41,0,1,125,1800,0.03,0.9087109618546695,0.003113712791093365,144.8017907480061,0.9180327865842515,0.45088566820436626,305.0,621,280.0
42,0,1,25,1000,0.2,0.257101529570658,0.008344750280130219,4.824250597122782,0.27173913013941403,0.040257648946818415,92.0,621,25.0
43,1,1,251,1200,0.03,0.2087228376875065,0.15892390085740535,3.384272904204528,0.207453416136183,0.5378421899294941,1610.0,621,334.0
44,1,0,25,1000,0.64,0.29109790009315395,0.007223813675336607,5.795744078121236,0.30952380915532884,0.041867954904691154,84.0,621,26.0
45,0,1,151,1000,0.02,0.28436823370956554,0.12031386224784762,5.099379643782686,0.2828507794890237,0.6135265699495127,1347.0,621,381.0
46,0,1,75,1800,0.05,0.5808240330440567,0.020301407397928743,18.16417161173359,0.5841836733203613,0.3687600643528567,392.0,621,229.0
47,0,0,225,200,0.05,0.8381567185601856,0.004359197907530712,74.24853827339392,0.8516949148933496,0.3236714975324201,236.0,621,201.0
48,1,1,75,200,0.14,0.32223642534571906,0.019429567816422598,6.298782560496768,0.3275862067553508,0.12238325279832798,232.0,621,76.0
49,1,1,151,1600,0.05,0.07080374207782768,0.10661352596703683,0.9817683838470148,0.07057546144727737,0.10466988726172788,921.0,621,65.0
50,1,1,25,200,0.4,0.4492073325578942,0.003113712791093365,12.928731316786259,0.499999999,0.040257648946818415,50.0,621,25.0
51,1,1,301,1400,0.03,0.39317347572569744,0.04807572549448156,8.37378215199642,0.39308176094448405,0.40257648946818414,636.0,621,250.0
52,0,0,101,1000,0.11,0.9560273688507148,0.0,1771336.5536600105,0.9999999990909092,0.17713365536600104,110.0,621,110.0
53,0,0,175,400,0.05,0.789348062808487,0.004483746419174446,54.2293773932499,0.8074866305842318,0.24315619963878324,187.0,621,151.0
54,0,0,275,400,0.03,0.5772064225064361,0.018557728234916457,17.961871888246684,0.5814606739939717,0.3333333332796565,356.0,621,207.0
55,1,0,151,200,0.09,0.12988306707958283,0.3680408519072358,1.9120255502647256,0.1288325471660132,0.7037037035903859,3392.0,621,437.0
56,0,0,101,800,0.11,0.9541033834222921,0.0,1706924.3153451008,0.9999999990566039,0.17069243153451008,106.0,621,106.0
57,1,1,101,1600,0.06,0.3972514290624164,0.07933740191705894,8.46381053357249,0.3956356735867518,0.6714975844329312,1054.0,621,417.0
58,0,0,225,1000,0.03,0.40737697628030783,0.03736455349312038,8.921087233982517,0.40828402358810967,0.3333333332796565,507.0,621,207.0
59,0,1,275,1200,0.01,0.11484007744669836,0.5992028895180072,1.6608212899035355,0.1138331184359213,0.9951690819653513,5429.0,621,618.0
60,1,0,51,1600,0.32,0.9606944441776968,0.0,1948470.2090260114,0.9999999991735538,0.19484702090260114,121.0,621,121.0
61,1,1,225,1200,0.05,0.08615283594474352,0.05131398679721866,1.223873136536861,0.0864745010894735,0.06280193235703672,451.0,621,39.0
62,0,0,75,600,0.18,0.9327661861964089,0.0,1207729.4684045527,0.9999999986666668,0.12077294684045525,75.0,621,75.0
63,1,0,201,1000,0.08,0.27300032069150715,0.17137875202177882,4.810842415527831,0.2711864406636024,0.8244766504308412,1888.0,621,512.0
64,0,1,101,1200,0.03,0.18419387104732834,0.2940590359908574,2.89139646313604,0.1827622014474641,0.850241545756805,2889.0,621,528.0
65,1,0,175,1400,0.09,0.28650474635986317,0.10773446257183043,5.156706837656538,0.28512396691858477,0.5555555554660941,1210.0,621,345.0
66,0,1,75,600,0.04,0.3359035295048827,0.11695105243346679,6.485221311432066,0.3340425531677984,0.758454106158059,1410.0,621,471.0
67,0,1,25,1800,0.2,0.8367839809776144,0.0,483091.78736182104,0.9999999966666666,0.0483091787361821,30.0,621,30.0
68,0,1,251,1000,0.01,0.08410785499171168,0.8506663345267074,1.1755489099500536,0.08334451751330903,0.9999999998389695,7451.0,621,621.0
69,1,1,201,1400,0.03,0.14254327711907838,0.24025407896076406,2.1313980752324713,0.1415220293661984,0.5120772946035302,2247.0,621,318.0
70,1,1,101,1200,0.07,0.4817476526543919,0.026404284468471737,12.136275549210788,0.48418491472404257,0.3204508856166746,411.0,621,199.0
71,1,1,25,600,0.36,0.8367839809776144,0.0,483091.78736182104,0.9999999966666666,0.0483091787361821,30.0,621,30.0
72,1,1,125,1200,0.07,0.6151797355741365,0.01569311246711056,21.137993767496653,0.6204819275239511,0.33172302732178377,332.0,621,206.0
73,1,1,201,200,0.05,0.05162270239386662,0.07784281977733414,0.7033446680094206,0.05159332320916642,0.054750402567673044,659.0,621,34.0
74,0,0,175,1600,0.05,0.9773681869139034,0.0,2995169.0816432904,0.9999999994623656,0.299516908164329,186.0,621,186.0
75,1,1,25,400,0.41000000000000003,0.8090339531329341,0.0,402576.4894681842,0.999999996,0.040257648946818415,25.0,621,25.0
76,0,1,25,200,0.17,0.05171942006869031,0.056918669821186714,0.7072824847284985,0.051867219906251615,0.040257648946818415,482.0,621,25.0
77,0,1,301,1400,0.01,0.1648331059561009,0.386224934607221,2.526623918781658,0.16347450768374766,0.9758454104708784,3707.0,621,606.0
78,1,0,25,1200,0.64,0.30111158943834637,0.006850168140405404,6.1118709584138085,0.32098765392470663,0.041867954904691154,81.0,621,26.0
79,0,1,51,800,0.08,0.9040693086638205,0.0,853462.1576725504,0.9999999981132075,0.08534621576725504,53.0,621,53.0
80,0,1,25,1400,0.21,0.27683303937629483,0.007472910698624076,5.387072301961325,0.29411764671280277,0.040257648946818415,85.0,621,25.0
81,0,0,201,1200,0.03,0.4613991750494957,0.04483746419174446,11.061578477006611,0.46107784424235365,0.49597423502480287,668.0,621,308.0
82,0,0,225,400,0.05,0.7177588781486521,0.00921658986163636,34.41911124962244,0.7269372691044511,0.3172302737009291,271.0,621,197.0
83,1,0,25,1400,0.64,0.20166073292489578,0.011707560094511052,3.438573431568326,0.21008403343690418,0.040257648946818415,119.0,621,25.0
84,0,0,101,600,0.11,0.9514965098028684,0.0,1626409.017451464,0.999999999009901,0.1626409017451464,101.0,621,101.0
85,0,1,175,1800,0.02,0.513218723398676,0.058662348984199,13.533032646575913,0.5114107883286918,0.7938808372312591,964.0,621,493.0
86,1,0,151,1600,0.1,0.6447003259451299,0.033877195167095815,23.338941949635416,0.6435124507675607,0.7906602253155137,763.0,621,491.0
87,0,0,51,1200,0.26,0.9003660897802611,0.0,821256.0385150957,0.9999999980392157,0.08212560385150956,51.0,621,51.0
88,0,0,151,2000,0.06,0.9135725814945821,0.00161913065136855,180.99687285757273,0.9333333328547009,0.2930756843328381,195.0,621,182.0
89,0,0,25,1600,0.48,0.8152731850106308,0.0,418679.54904691153,0.9999999961538462,0.041867954904691154,26.0,621,26.0
90,0,1,251,1200,0.01,0.08427737692470791,0.8487981068520514,1.1781363247074734,0.08351264120382582,0.9999999998389695,7436.0,621,621.0
91,0,0,301,1400,0.02,0.5303516861913654,0.022543280607515963,14.786306414421409,0.5335051545016739,0.3333333332796565,388.0,621,207.0
92,1,1,125,1400,0.08,0.5045953194519845,0.015568563955466826,13.549658537478733,0.5117187498001098,0.2109500804813285,256.0,621,131.0
93,1,1,175,800,0.05,0.15316603689139976,0.09328683522115722,2.3303510164359618,0.1527149321094214,0.21739130431281944,884.0,621,135.0
94,1,1,125,800,0.08,0.9621975470646318,0.0,2012882.4473409208,0.9999999992,0.20128824473409207,125.0,621,125.0
95,1,1,25,1800,0.39,0.4684752434812707,0.003113712791093365,13.963029822129158,0.5192307682322486,0.043478260862563886,52.0,621,27.0
96,1,1,75,1800,0.15,0.9346225437512687,0.0,1239935.5875620071,0.9999999987012987,0.12399355875620072,77.0,621,77.0
97,1,0,251,200,0.05,0.1077541466486472,0.5978328558899261,1.5461101813014426,0.10681056940627447,0.9243156198189508,5374.0,621,574.0
98,1,0,25,200,0.56,0.4743471823713168,0.010337526466429972,12.305936095201043,0.48765432068663317,0.1272141706719462,162.0,621,79.0
99,0,0,301,1000,0.02,0.6360976140430299,0.013575787769167073,23.24856930976388,0.642622950608976,0.3156199677430564,305.0,621,196.0
