,smoothing,normalization,wsize,memory,thres,F1,beta,FPR,RFPR,Prec,Rec,tot_pred,tot_labels,tot_correctly_pred
46,1,0,151,1800,0.02,0.30681383011162594,1,0.501791127018413,1.9928606677596747,0.18120503596307533,0.9999999997518609,2224.0,403,403.0
47,1,0,151,1800,0.09,0.21782165085458122,0.1,0.06503168916877841,2.51833317538182,0.21854304628525062,0.1637717121181708,302.0,403,66.0
48,1,0,225,1600,0.04,0.9025755381783689,1,0.023973546430863225,41.71246967522136,0.82244897942399,0.9999999997518609,490.0,403,403.0
49,1,0,225,1600,0.04,0.8238972522839119,0.1,0.023973546430863225,41.71246967522136,0.82244897942399,0.9999999997518609,490.0,403,403.0
50,0,1,51,1800,0.04,0.31732280792309103,1,0.4778175805875498,2.09284846580438,0.18858212446473646,0.9999999997518609,2137.0,403,403.0
51,0,1,51,1800,0.04,0.19010941432600997,0.1,0.4778175805875498,2.09284846580438,0.18858212446473646,0.9999999997518609,2137.0,403,403.0
52,0,1,11,200,0.1,0.1982565199129433,1,0.8856434279171771,1.1151134973985581,0.11018826134800144,0.9875930518641208,3612.0,403,398.0
53,0,1,11,200,0.1,0.11116610186617344,0.1,0.8856434279171771,1.1151134973985581,0.11018826134800144,0.9875930518641208,3612.0,403,398.0
54,1,1,301,1000,0.02,0.8035891840717159,1,0.05428492697563282,18.42128585845109,0.6716666665547223,0.9999999997518609,600.0,403,403.0
55,1,1,301,1000,0.03,0.6839222850582987,0.1,0.027004684485340186,19.663825492980664,0.685897435677597,0.531017369595281,312.0,403,214.0
56,1,0,25,1800,0.3,0.3522726800083641,1,0.12868558831279456,3.5865562633669144,0.2848392036317245,0.46153846142393584,653.0,403,186.0
57,1,0,25,1800,0.39,0.3913815432750518,0.1,0.020666850371433815,6.003279470245059,0.39999999968,0.1240694788774021,125.0,403,50.0
58,1,0,151,1600,0.02,0.28430332656104773,1,0.5591071920485229,1.7885654756673692,0.16570723683529165,0.9999999997518609,2432.0,403,403.0
59,1,0,151,1600,0.1,0.21782165085458122,0.1,0.06503168916877841,2.51833317538182,0.21854304628525062,0.1637717121181708,302.0,403,66.0
60,0,0,201,600,0.03,0.9004092271943058,1,0.0,8188585.60590854,0.9999999996969696,0.8188585605908539,330.0,403,330.0
61,0,0,201,600,0.03,0.9978144468679415,0.1,0.0,8188585.60590854,0.9999999996969696,0.8188585605908539,330.0,403,330.0
62,1,1,151,1200,0.04,0.5970148772147262,1,0.08321851749564016,8.945316512899446,0.49833887034911317,0.7444168732644126,602.0,403,300.0
63,1,1,151,1200,0.04,0.49997518195002916,0.1,0.08321851749564016,8.945316512899446,0.49833887034911317,0.7444168732644126,602.0,403,300.0
64,0,1,175,1200,0.01,0.2491499008936377,1,0.6693303940295032,1.4940302416697935,0.14230225988198086,0.9999999997518609,2832.0,403,403.0
65,0,1,175,1200,0.01,0.14352103445321363,0.1,0.6693303940295032,1.4940302416697935,0.14230225988198086,0.9999999997518609,2832.0,403,403.0
66,1,1,275,1600,0.02,0.7618146974941156,1,0.06944061724801762,14.400772909361168,0.6152671754785852,0.9999999997518609,655.0,403,403.0
67,1,1,275,1600,0.02,0.6176197737334039,0.1,0.06944061724801762,14.400772909361168,0.6152671754785852,0.9999999997518609,655.0,403,403.0
68,0,0,75,800,0.09,0.6978997927868471,1,0.0,5359801.487503772,0.9999999995370371,0.5359801487503771,216.0,403,216.0
69,0,0,75,800,0.09,0.9915009768775579,0.1,0.0,5359801.487503772,0.9999999995370371,0.5359801487503771,216.0,403,216.0
70,0,1,125,1800,0.02,0.3058823270079272,1,0.5039955910580327,1.9841439470495708,0.18055555554746616,0.9999999997518609,2232.0,403,403.0
71,0,1,125,1800,0.02,0.18203242324654761,0.1,0.5039955910580327,1.9841439470495708,0.18055555554746616,0.9999999997518609,2232.0,403,403.0
72,0,0,51,1000,0.13,0.5884412892611695,1,0.0,4168734.490280711,0.9999999994047619,0.4168734490280711,168.0,403,168.0
73,0,0,51,1000,0.13,0.9863393602912486,0.1,0.0,4168734.490280711,0.9999999994047619,0.4168734490280711,168.0,403,168.0
74,1,0,201,1000,0.05,0.8771526481252688,1,0.023697988425910775,39.998619364883325,0.8162393160649061,0.9478908186233521,468.0,403,382.0
75,1,0,201,1000,0.05,0.817363217511506,0.1,0.023697988425910775,39.998619364883325,0.8162393160649061,0.9478908186233521,468.0,403,382.0
76,1,1,75,1200,0.1,0.5372050421836584,1,0.0,3672456.5747711025,0.9999999993243244,0.36724565747711024,148.0,403,148.0
77,1,1,75,1200,0.1,0.9832267333858892,0.1,0.0,3672456.5747711025,0.9999999993243244,0.36724565747711024,148.0,403,148.0
78,1,1,51,2000,0.04,0.3311421251761733,1,0.44860843206259005,2.2291149817283022,0.1984244214574877,0.9999999997518609,2031.0,403,403.0
79,1,1,51,2000,0.19,0.9360342028581153,0.1,0.0,1265508.6845495014,0.9999999980392157,0.12655086845495014,51.0,403,51.0
80,1,1,125,600,0.05,0.46796111732246687,1,0.10636538991164604,5.622264220150985,0.3843700158876603,0.5980148881890781,627.0,403,241.0
81,1,1,125,600,0.05,0.3857343700267698,0.1,0.10636538991164604,5.622264220150985,0.3843700158876603,0.5980148881890781,627.0,403,241.0
