,smoothing,normalization,dimension,wsize,sigma,update_weight,decay_period,thres,F1,FPR,RFPR,Prec,Rec,tot_pred,tot_labels,tot_correctly_pred
39,0.0,1,6,251,2.0,0.005,1200,0.54,0.3348280588752574,0.13077593722592135,4.13732372782125,0.24242424240675148,0.5410628018452395,1386.0,621,336.0
40,1.0,1,10,201,0.5,0.005,1600,0.0,0.1339661184438048,0.9999999999875452,0.9999998998514343,0.0717919075136209,0.9999999998389695,8650.0,621,621.0
41,1.0,0,3,251,5.0,0.3,1600,0.0,0.1339661184438048,0.9999999999875452,0.9999998998514343,0.0717919075136209,0.9999999998389695,8650.0,621,621.0
42,1.0,0,7,101,2.0,0.3,1200,0.17,0.1929113658955845,0.3671690123257296,1.6709645483611106,0.11444878341500606,0.6135265699495127,3329.0,621,381.0
43,0.0,0,10,301,0.5,0.1,7000,1.57,0.5801062522760349,0.03910823265613267,15.729048878562311,0.5488505746337858,0.6151368759073854,696.0,621,382.0
44,0.0,1,8,75,1.5,0.2,400,0.22,0.1951219188321212,0.010212977954786238,11.982994092488497,0.48101265792340975,0.12238325279832798,158.0,621,76.0
45,1.0,0,6,225,3.0,0.4,400,0.12,0.13438648389077415,0.9963880931498769,1.0036248991245817,0.07203340679651973,0.9999999998389695,8621.0,621,621.0
46,1.0,1,2,151,1.5,0.001,1600,0.04,0.134110774657323,0.9987545148711078,1.0012469378857614,0.0718749999991681,0.9999999998389695,8640.0,621,621.0
47,1.0,1,10,101,0.1,0.2,5000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,621,0.0
48,1.0,1,10,51,0.1,0.1,1200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,621,0.0
49,0.0,0,6,11,1.0,0.4,800,0.11,0.1346992027221554,0.9885415369163216,1.006704264951048,0.0722384570418207,0.9951690819653513,8555.0,621,618.0
50,0.0,0,9,151,1.5,0.005,400,0.93,0.23717405726940383,0.18370905467450854,2.4718761616680798,0.16050085371881043,0.4541062801201117,1757.0,621,282.0
51,0.0,0,10,225,0.5,0.4,400,0.99,0.21844818562771945,0.25582264291623086,2.064634082807916,0.1376994122528254,0.5281803541822576,2382.0,621,328.0
52,0.0,0,1,275,1.0,0.005,1600,0.0,0.0,0.0,0.0,0.0,0.0,0.0,621,0.0
53,1.0,1,10,101,5.0,0.2,200,0.11,0.17681425086457983,0.6611034998049433,1.4005761367053746,0.09773924868098352,0.9259259257768235,5883.0,621,575.0
54,1.0,1,4,125,1.0,0.3,200,0.17,0.2538885838181153,0.35608419478943726,2.2882638369811503,0.15037147102079135,0.8148148146836047,3365.0,621,506.0
55,1.0,0,7,101,1.5,0.3,1400,0.28,0.2451455938751942,0.01270394818766093,12.802289423233985,0.4975369455677158,0.1626409017451464,203.0,621,101.0
56,0.0,0,10,125,1.5,0.1,1400,0.98,0.20636038975707596,0.23875949682103925,1.969384041351358,0.13218650972692683,0.4702093396988391,2209.0,621,292.0
57,1.0,0,10,125,3.0,0.1,800,0.22,0.3190271471106575,0.21534437663201714,3.335105076497978,0.2050574712549399,0.7181964572112406,2175.0,621,446.0
58,0.0,1,1,275,1.0,0.3,1400,0.0,0.0,0.0,0.0,0.0,0.0,0.0,621,0.0
59,0.0,0,10,151,0.1,0.005,600,0.0,0.0,0.0,0.0,0.0,0.0,0.0,621,0.0
60,0.0,1,7,251,0.5,0.005,1000,0.03,0.1339661184438048,0.9999999999875452,0.9999998998514343,0.0717919075136209,0.9999999998389695,8650.0,621,621.0
61,0.0,1,10,251,5.0,0.005,800,0.43,0.3231637962206965,0.10748536554854296,4.284742142588652,0.24891209745440276,0.46054750395160265,1149.0,621,286.0
62,0.0,0,3,301,1.0,0.1,1200,0.53,0.13810740348043476,0.9200398555122675,1.0396523903614876,0.07442676356253068,0.9565217389764056,7981.0,621,594.0
63,1.0,1,10,75,1.0,0.001,1400,0.15,0.13472175768947695,0.9935234773820709,1.00651863992394,0.07222609909197224,0.9999999998389695,8598.0,621,621.0
64,1.0,0,7,151,2.0,0.4,1400,0.21,0.1975429551161402,0.15107734462385009,2.142421049934301,0.1421499292685891,0.3236714975324201,1414.0,621,201.0
65,1.0,0,7,225,0.5,0.001,400,0.27,0.4451332445924343,0.07883920787048401,7.3326346272091305,0.36189516125384125,0.5780998388763124,992.0,621,359.0
66,1.0,0,1,201,3.0,0.001,5000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,621,0.0
67,0.0,0,10,251,2.0,0.1,1200,0.92,0.22056468665269743,0.13065138871427762,2.5513167630919598,0.1648089171843305,0.3333333332796565,1256.0,621,207.0
68,1.0,0,4,51,2.0,0.3,800,0.18,0.22198271429730193,0.02540789637532186,6.527925744746601,0.33550488588420035,0.16586151366089188,307.0,621,103.0
69,0.0,1,9,301,0.5,0.4,7000,0.01,0.1339661184438048,0.9999999999875452,0.9999998998514343,0.0717919075136209,0.9999999998389695,8650.0,621,621.0
70,1.0,0,5,301,2.0,0.3,1200,0.2,0.4530289330848375,0.1421098517855012,5.847006939503491,0.3114061556842845,0.8309178742623321,1657.0,621,516.0
71,1.0,1,6,225,2.0,0.005,1400,0.15,0.1347869049957508,0.9774567193800292,1.0082360946064008,0.0723404255310598,0.9855072462181148,8460.0,621,612.0
72,0.0,0,10,51,1.0,0.2,1000,0.75,0.23753662171015674,0.2220699962607788,2.3494344314512476,0.1537731371545433,0.5217391303507667,2107.0,621,324.0
73,1.0,1,3,101,5.0,0.3,800,0.01,0.13399502471618335,0.9997509029642577,1.000249058889637,0.07180851063746752,0.9999999998389695,8648.0,621,621.0
74,0.0,0,1,175,1.5,0.005,600,0.0,0.0,0.0,0.0,0.0,0.0,0.0,621,0.0
75,1.0,0,10,11,1.5,0.001,1400,0.01,0.1339661184438048,0.9999999999875452,0.9999998998514343,0.0717919075136209,0.9999999998389695,8650.0,621,621.0
76,0.0,1,10,75,0.1,0.001,1000,0.86,0.1344010263087799,0.9962635446382331,1.003750367907978,0.07204176334023153,0.9999999998389695,8620.0,621,621.0
77,1.0,1,10,175,5.0,0.001,800,0.13,0.13695003685932505,0.9748412006355108,1.0258079947854666,0.0735085227264026,0.9999999998389695,8448.0,621,621.0
78,1.0,1,4,151,0.3,0.2,1400,0.0,0.1339661184438048,0.9999999999875452,0.9999998998514343,0.0717919075136209,0.9999999998389695,8650.0,621,621.0
79,0.0,1,9,275,2.0,0.005,7000,0.56,0.23691698984908724,0.42408768214691633,2.054233957882215,0.13710086162855803,0.8711755232091505,3946.0,621,541.0
80,1.0,0,5,125,3.0,0.4,1200,0.1,0.16507476836663829,0.5567318470474937,1.3247311073434718,0.09293831168642577,0.7375201287057134,4928.0,621,458.0
81,1.0,1,10,101,1.5,0.1,1400,0.32,0.4375586367449193,0.026279735956828,14.277154880293809,0.5247747746565822,0.3752012881843476,444.0,621,233.0
82,1.0,1,5,251,3.0,0.005,1000,0.12,0.13504515988371765,0.8996138996026951,1.0167180418220052,0.07290463355059806,0.9146537840717144,7791.0,621,568.0
