,smoothing,normalization,precision,lag_size,fut_size,chunk_size,thres,F1,beta,FPR,RFPR,Prec,Rec,tot_pred,tot_labels,tot_correctly_pred,prc,roc,order
202,0,0,32,1200,100,9,0.59,0.14843603369339206,1,0.5456470295112014,1.1834254304341785,0.08385612714170104,0.6457326891069674,4782.0,621,401.0,0.06607427238052488,0.47489434936840264,5
203,0,0,32,1200,100,9,0.59,0.08458483177467399,0.1,0.5456470295112014,1.1834254304341785,0.08385612714170104,0.6457326891069674,4782.0,621,401.0,0.06607427238052488,0.47489434936840264,5
204,0,1,16,1800,800,4,0.0,0.1339661184438048,1,0.9999999999875452,0.9999998998514343,0.0717919075136209,0.9999999998389695,8650.0,621,621.0,0.0639630114426983,0.4070269427913187,1
205,0,1,16,1800,800,4,0.42,0.08888915480791454,0.1,0.06762984182254789,1.2619590297917502,0.0889261744817238,0.08534621576725504,596.0,621,53.0,0.0639630114426983,0.4070269427913187,1
206,1,1,32,800,100,40,0.0,0.1339661184438048,1,0.9999999999875452,0.9999998998514343,0.0717919075136209,0.9999999998389695,8650.0,621,621.0,0.06577884900486353,0.45009325093476565,5
207,1,1,32,800,100,40,0.0,0.0724578005058431,0.1,0.9999999999875452,0.9999998998514343,0.0717919075136209,0.9999999998389695,8650.0,621,621.0,0.06577884900486353,0.45009325093476565,5
208,0,1,2,1000,800,40,0.0,0.1339661184438048,1,0.9999999999875452,0.9999998998514343,0.0717919075136209,0.9999999998389695,8650.0,621,621.0,0.05099846877539661,0.29048613831222525,20
209,0,1,2,1000,800,40,0.4,0.07764734175536878,0.1,0.041101008842432424,1.0970158248842081,0.07821229048094629,0.045088566820436625,358.0,621,28.0,0.05099846877539661,0.29048613831222525,20
210,1,1,128,2000,1500,15,0.0,0.1339661184438048,1,0.9999999999875452,0.9999998998514343,0.0717919075136209,0.9999999998389695,8650.0,621,621.0,0.058821845860953646,0.36957795302816343,45
211,1,1,128,2000,1500,15,0.0,0.0724578005058431,0.1,0.9999999999875452,0.9999998998514343,0.0717919075136209,0.9999999998389695,8650.0,621,621.0,0.058821845860953646,0.36957795302816343,45
212,1,0,64,1500,1500,50,0.0,0.1339661184438048,1,0.9999999999875452,0.9999998998514343,0.0717919075136209,0.9999999998389695,8650.0,621,621.0,0.058821845860953646,0.36957795302816343,20
213,1,0,64,1500,1500,50,0.0,0.0724578005058431,0.1,0.9999999999875452,0.9999998998514343,0.0717919075136209,0.9999999998389695,8650.0,621,621.0,0.058821845860953646,0.36957795302816343,20
214,1,0,2,1200,80,5,0.51,0.16154868308088252,1,0.09415867480266336,2.069345329853312,0.13797035346203304,0.19484702090260114,877.0,621,121.0,0.08433537257261274,0.5035447188322364,8
215,1,0,2,1200,80,5,0.54,0.1446555303164942,0.1,0.07373271889309088,2.1839744933766934,0.14450867049934846,0.16103059578727366,692.0,621,100.0,0.08433537257261274,0.5035447188322364,8
216,1,0,32,1500,40,60,0.99,0.13598372311767876,1,0.9504296923533387,1.0199640146370692,0.0731203692448303,0.9694041866393874,8233.0,621,602.0,0.07307972387873925,0.5091480982084067,20
217,1,0,32,1500,40,60,0.99,0.07379590243710583,0.1,0.9504296923533387,1.0199640146370692,0.0731203692448303,0.9694041866393874,8233.0,621,602.0,0.07307972387873925,0.5091480982084067,20
218,0,1,1,1200,500,30,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,621,0.0,0.07179190751445087,0.5,20
219,0,1,1,1200,500,30,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,621,0.0,0.07179190751445087,0.5,20
220,0,1,128,800,100,70,0.0,0.1339661184438048,1,0.9999999999875452,0.9999998998514343,0.0717919075136209,0.9999999998389695,8650.0,621,621.0,0.06577884900486353,0.45009325093476565,5
221,0,1,128,800,100,70,0.0,0.0724578005058431,0.1,0.9999999999875452,0.9999998998514343,0.0717919075136209,0.9999999998389695,8650.0,621,621.0,0.06577884900486353,0.45009325093476565,5
222,1,0,512,2000,100,25,0.0,0.1339661184438048,1,0.9999999999875452,0.9999998998514343,0.0717919075136209,0.9999999998389695,8650.0,621,621.0,0.06577884900486353,0.45009325093476565,5
223,1,0,512,2000,100,25,0.0,0.0724578005058431,0.1,0.9999999999875452,0.9999998998514343,0.0717919075136209,0.9999999998389695,8650.0,621,621.0,0.06577884900486353,0.45009325093476565,5
224,0,1,256,800,40,30,0.0,0.1339661184438048,1,0.9999999999875452,0.9999998998514343,0.0717919075136209,0.9999999998389695,8650.0,621,621.0,0.07157963968049219,0.498402429678727,5
225,0,1,256,800,40,30,0.0,0.0724578005058431,0.1,0.9999999999875452,0.9999998998514343,0.0717919075136209,0.9999999998389695,8650.0,621,621.0,0.07157963968049219,0.498402429678727,5
